trait	trait_uri	studies	association_counts	papers	Olga's comments
attempted suicide, mood disorder	http://www.ebi.ac.uk/efo/EFO_0004321, http://www.ebi.ac.uk/efo/EFO_0004247	1	7	1	
gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	1	7	1	
response to cisplatin, response to antineoplastic agent	http://purl.obolibrary.org/obo/GO_0072718, http://purl.obolibrary.org/obo/GO_0097327	1	7	1	
intermittent Staphylococcus aureus carrier status	http://www.ebi.ac.uk/efo/EFO_0007758	1	7	1	
dyslexia	http://www.ebi.ac.uk/efo/EFO_0005424	1	7	1	
common carotid intimal medial thickness, internal carotid intimal medial thickness, carotid artery disease	http://www.ebi.ac.uk/efo/EFO_0004860, http://www.ebi.ac.uk/efo/EFO_0005053, http://www.ebi.ac.uk/efo/EFO_0003781	1	7	1	
lung volume	http://www.ebi.ac.uk/efo/EFO_0600046	1	7	1	
AQP4-IgG-positive neuromyelitis optica	http://www.ebi.ac.uk/efo/EFO_0009584	1	7	1	
ovarian reserve	http://www.ebi.ac.uk/efo/EFO_0004770	1	7	1	
stricture, ileocolitis, perianal Crohn's disease, Erythema nodosum, Crohn's disease, mild disease course, complicated disease course	http://www.ebi.ac.uk/efo/EFO_0006818, http://www.ebi.ac.uk/efo/EFO_0005624, http://www.ebi.ac.uk/efo/EFO_0005627, http://purl.obolibrary.org/obo/HP_0012219, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.ebi.ac.uk/efo/EFO_0006819, http://www.ebi.ac.uk/efo/EFO_0006820	1	7	1	
carbamazepine-induced hyponatremia, response to carbamazepine	http://www.ebi.ac.uk/efo/EFO_0009894, http://www.ebi.ac.uk/efo/EFO_0008484	1	7	1	
BMI-adjusted waist circumference, forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0007789, http://www.ebi.ac.uk/efo/EFO_0004314	1	7	1	
attention deficit hyperactivity disorder, parental emotion expression measurmement	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0008342	1	7	1	
multiple sclerosis, chronic lymphocytic leukemia	http://purl.obolibrary.org/obo/MONDO_0005301, http://www.ebi.ac.uk/efo/EFO_0000095	1	7	1	
atopic eczema, childhood onset asthma, atopic march	http://www.ebi.ac.uk/efo/EFO_0000274, http://purl.obolibrary.org/obo/MONDO_0005405, http://www.ebi.ac.uk/efo/EFO_0007755	1	7	1	
central nervous system non-hodgkin lymphoma	http://purl.obolibrary.org/obo/MONDO_0044887	1	7	1	
response to carboplatin, response to paclitaxel, response to antineoplastic agent	http://purl.obolibrary.org/obo/GO_0097328, http://purl.obolibrary.org/obo/GO_1901555, http://purl.obolibrary.org/obo/GO_0097327	1	7	1	
cutaneous lupus erythematosus	http://www.ebi.ac.uk/efo/EFO_0003834	1	7	1	
blood pressure, response to cold pressor test	http://www.ebi.ac.uk/efo/EFO_0004325, http://www.ebi.ac.uk/efo/EFO_0005404	1	7	1	
uterine fibroid, Menorrhagia	http://www.ebi.ac.uk/efo/EFO_0000731, http://purl.obolibrary.org/obo/HP_0000132	1	7	1	
vein graft stenosis	http://www.ebi.ac.uk/efo/EFO_0007051	1	7	1	
pyoderma gangrenosum	http://www.ebi.ac.uk/efo/EFO_0006835	1	7	1	
forced expiratory volume, body mass index	http://www.ebi.ac.uk/efo/EFO_0004314, http://www.ebi.ac.uk/efo/EFO_0004340	1	7	1	
erythrocyte indices	http://www.ebi.ac.uk/efo/EFO_0004306	1	7	1	
response to docetaxel, response to antineoplastic agent	http://purl.obolibrary.org/obo/GO_1902519, http://purl.obolibrary.org/obo/GO_0097327	1	7	1	
chemotherapy-induced alopecia, response to antimicrotubule agent	http://www.ebi.ac.uk/efo/EFO_0005400, http://www.ebi.ac.uk/efo/EFO_0005260	1	7	1	
lung carcinoma, squamous cell carcinoma, gastric carcinoma	http://www.ebi.ac.uk/efo/EFO_0001071, http://www.ebi.ac.uk/efo/EFO_0000707, http://www.ebi.ac.uk/efo/EFO_0000178	1	7	1	
response to trametinib	http://www.ebi.ac.uk/efo/EFO_0007816	1	7	1	
marginal zone B-cell lymphoma, multiple sclerosis	http://www.ebi.ac.uk/efo/EFO_1000630, http://purl.obolibrary.org/obo/MONDO_0005301	1	7	1	
squamous cell carcinoma, esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707, http://www.ebi.ac.uk/efo/EFO_0002916	1	7	1	
response to escitalopram, response to citalopram	http://www.ebi.ac.uk/efo/EFO_0007871, http://www.ebi.ac.uk/efo/EFO_0006329	1	7	1	
intertrochanteric region size	http://www.ebi.ac.uk/efo/EFO_0010075	1	7	1	
Alzheimer disease, survival time	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0000714	1	7	1	
autism spectrum disorder, autism, autism spectrum disorder symptom	http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0003758, http://www.ebi.ac.uk/efo/EFO_0005426	1	6	1	
neutropenia, response to gemcitabine	http://purl.obolibrary.org/obo/MONDO_0001475, http://purl.obolibrary.org/obo/GO_0036272	1	6	1	
Neonatal sepsis	http://purl.obolibrary.org/obo/HP_0040187	1	6	1	
sporadic amyotrophic lateral sclerosis, survival time	http://www.ebi.ac.uk/efo/EFO_0001357, http://www.ebi.ac.uk/efo/EFO_0000714	1	6	1	
response to topoisomerase inhibitor, response to antineoplastic agent	http://purl.obolibrary.org/obo/GO_0072758, http://purl.obolibrary.org/obo/GO_0097327	1	6	1	
response to anti-thyroid drug, Drug-induced agranulocytosis	http://www.ebi.ac.uk/efo/EFO_0007838, http://purl.obolibrary.org/obo/HP_0012235	1	6	1	
nicotine use	http://www.ebi.ac.uk/efo/EFO_0005430	1	6	1	
Moderate albuminuria, diabetic nephropathy	http://purl.obolibrary.org/obo/HP_0012594, http://www.ebi.ac.uk/efo/EFO_0000401	1	6	1	
Alzheimer disease, language impairment	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0005425	1	6	1	
white matter integrity, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0004641, http://www.ebi.ac.uk/efo/EFO_0000289	1	6	1	
Hirsutism	http://purl.obolibrary.org/obo/HP_0001007	1	6	1	
birth rate, male fertility, family size	http://www.ebi.ac.uk/efo/EFO_0004804, http://www.ebi.ac.uk/efo/EFO_0004803, http://www.ebi.ac.uk/efo/EFO_0004802	1	6	1	
response to platinum based chemotherapy, response to antineoplastic agent	http://www.ebi.ac.uk/efo/EFO_0004647, http://purl.obolibrary.org/obo/GO_0097327	1	6	1	
memory impairment	http://www.ebi.ac.uk/efo/EFO_0001072	1	6	1	
BMI-adjusted waist-hip ratio, adult onset asthma	http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_1002011	1	6	1	
response to bevacizumab, hypertension, Proteinuria	http://www.ebi.ac.uk/efo/EFO_0005943, http://www.ebi.ac.uk/efo/EFO_0000537, http://purl.obolibrary.org/obo/HP_0000093	1	6	1	
response to radiation, Abnormality of the urinary system	http://purl.obolibrary.org/obo/GO_0009314, http://purl.obolibrary.org/obo/HP_0000079	1	6	1	
skeletal age	http://www.ebi.ac.uk/efo/EFO_0020898	1	6	1	
parenchymal hematoma, response to recombinant tissue-plasminogen activator	http://www.ebi.ac.uk/efo/EFO_0020101, http://www.ebi.ac.uk/efo/EFO_0600080	1	6	1	
rheumatoid arthritis, ACPA-negative rheumatoid arthritis	http://www.ebi.ac.uk/efo/EFO_0000685, http://www.ebi.ac.uk/efo/EFO_0009460	1	6	1	
supraventricular ectopy	http://www.ebi.ac.uk/efo/EFO_0009277	1	6	1	
hand, foot and mouth disease, illness severity status	http://www.ebi.ac.uk/efo/EFO_0007294, http://www.ebi.ac.uk/efo/EFO_0007863	1	6	1	
cervical carcinoma, Cervical Intraepithelial Neoplasia Grade 2/3	http://www.ebi.ac.uk/efo/EFO_0001061, http://www.ebi.ac.uk/efo/EFO_1000166	1	6	1	
osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	1	6	1	
choroidal melanoma	http://www.ebi.ac.uk/efo/EFO_0009093	1	6	1	
laryngeal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006352	1	6	1	
helix rolling	http://www.ebi.ac.uk/efo/EFO_0007670	1	6	1	
metastatic colorectal cancer, survival time	http://www.ebi.ac.uk/efo/EFO_1001480, http://www.ebi.ac.uk/efo/EFO_0000714	1	6	1	
hepatitis C virus infection, cirrhosis of liver	http://www.ebi.ac.uk/efo/EFO_0003047, http://www.ebi.ac.uk/efo/EFO_0001422	1	6	1	
response to statin, muscle tissue disorder	http://purl.obolibrary.org/obo/GO_0036273, http://purl.obolibrary.org/obo/MONDO_0003939	1	6	1	
tubal factor infertility, Chlamydophila infectious disease	http://www.ebi.ac.uk/efo/EFO_0021795, http://www.ebi.ac.uk/efo/EFO_1000863	1	6	1	
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	1	6	1	
permanent dental caries	http://www.ebi.ac.uk/efo/EFO_0600096	1	6	1	
response to antineoplastic agent, response to anthracycline-based chemotherapy	http://purl.obolibrary.org/obo/GO_0097327, http://www.ebi.ac.uk/efo/EFO_0005257	1	6	1	
age at initiation of corrective lens use	http://www.ebi.ac.uk/efo/EFO_0021781	1	6	1	
response to antineoplastic agent, response to antimetabolite	http://purl.obolibrary.org/obo/GO_0097327, http://purl.obolibrary.org/obo/GO_0097329	1	6	1	
adult onset asthma, type 2 diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_1002011, http://purl.obolibrary.org/obo/MONDO_0005148	1	6	1	
anorexia nervosa, unipolar depression	http://www.ebi.ac.uk/efo/EFO_0004215, http://www.ebi.ac.uk/efo/EFO_0003761	1	6	1	
non-obstructive coronary artery disease	http://www.ebi.ac.uk/efo/EFO_1001483	1	5	1	
pepsinogen I/II ratio	http://www.ebi.ac.uk/efo/EFO_0010149	1	5	1	
age at diagnosis, coronary atherosclerosis	http://www.ebi.ac.uk/efo/EFO_0004918, http://purl.obolibrary.org/obo/MONDO_0021661	1	5	1	
lung carcinoma, squamous cell carcinoma, lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0001071, http://www.ebi.ac.uk/efo/EFO_0000707, http://www.ebi.ac.uk/efo/EFO_0000571	1	5	1	
Achilles tendon injury	http://www.ebi.ac.uk/efo/EFO_0600078	1	5	1	
serum lipopolysaccharide activity	http://www.ebi.ac.uk/efo/EFO_0600064	1	5	1	
cervical artery dissection	http://www.ebi.ac.uk/efo/EFO_1000059	1	5	1	
aggressive periodontitis	http://www.ebi.ac.uk/efo/EFO_0006342	1	5	1	
Tourette syndrome, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0004895, http://www.ebi.ac.uk/efo/EFO_0000289	1	5	1	
age at diagnosis, osteoarthritis	http://www.ebi.ac.uk/efo/EFO_0004918, http://purl.obolibrary.org/obo/MONDO_0005178	1	5	1	
fat body mass, body mass index, obesity	http://www.ebi.ac.uk/efo/EFO_0005409, http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0001073	1	5	1	
asthma, type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0004979, http://purl.obolibrary.org/obo/MONDO_0005148	1	5	1	
heart failure, body fat percentage	http://www.ebi.ac.uk/efo/EFO_0003144, http://www.ebi.ac.uk/efo/EFO_0007800	1	5	1	
periprosthetic osteolysis	http://www.ebi.ac.uk/efo/EFO_0009761	1	5	1	
response to bronchodilator, response to corticosteroid	http://purl.obolibrary.org/obo/GO_0097366, http://purl.obolibrary.org/obo/GO_0031960	1	5	1	
neonatal systemic lupus erythematosus	http://www.ebi.ac.uk/efo/EFO_0004537	1	5	1	
response to epirubicin, response to antineoplastic agent	http://purl.obolibrary.org/obo/GO_1902522, http://purl.obolibrary.org/obo/GO_0097327	1	5	1	
body mass index, age at assessment	http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0008007	1	5	1	
intelligence, specific language impairment, dyslexia	http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_1001510, http://www.ebi.ac.uk/efo/EFO_0005424	1	5	1	
obsolete_familial long QT syndrome	http://www.orpha.net/ORDO/Orphanet_768	1	5	1	
response to acetaminophen	http://purl.obolibrary.org/obo/GO_1901554	1	5	1	
Osteochondritis dissecans	http://purl.obolibrary.org/obo/HP_0010886	1	5	1	
waist circumference, body weight, body mass index, body height	http://www.ebi.ac.uk/efo/EFO_0004342, http://www.ebi.ac.uk/efo/EFO_0004338, http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0004339	1	5	1	
xerostomia	http://www.ebi.ac.uk/efo/EFO_0009869	1	5	1	
BMI-adjusted waist-hip ratio, forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0004314	1	5	1	
migraine without aura, susceptibility to, 4, diastolic blood pressure	http://purl.obolibrary.org/obo/MONDO_0011847, http://www.ebi.ac.uk/efo/EFO_0006336	1	5	1	
heart septal defect	http://purl.obolibrary.org/obo/MONDO_0002078	1	5	1	
Takotsubo cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_1002000	1	5	1	
mental or behavioural disorder, substance abuse	http://www.ebi.ac.uk/efo/EFO_0000677, http://purl.obolibrary.org/obo/MONDO_0002491	1	5	1	
response to bupropion	http://www.ebi.ac.uk/efo/EFO_0006326	1	5	1	
COVID-19, obesity	http://purl.obolibrary.org/obo/MONDO_0100096, http://www.ebi.ac.uk/efo/EFO_0001073	1	5	1	
diffuse large B-cell lymphoma, multiple sclerosis	http://www.ebi.ac.uk/efo/EFO_0000403, http://purl.obolibrary.org/obo/MONDO_0005301	1	5	1	
non-alcoholic pancreatitis	http://www.ebi.ac.uk/efo/EFO_0021524	1	5	1	
response to atorvastatin, Myalgia	http://www.ebi.ac.uk/efo/EFO_0010124, http://purl.obolibrary.org/obo/HP_0003326	1	5	1	
suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0007623	1	5	1	
unipolar depression, herpes virus seropositivity	http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0007036	1	5	1	
chemotherapy-induced alopecia, response to paclitaxel	http://www.ebi.ac.uk/efo/EFO_0005400, http://purl.obolibrary.org/obo/GO_1901555	1	5	1	
abnormal vaginal discharge smell	http://www.ebi.ac.uk/efo/EFO_0009408	1	5	1	
volumetric brain MRI	http://www.ebi.ac.uk/efo/EFO_0004868	1	5	1	
response to drug, Drug-induced agranulocytosis	http://purl.obolibrary.org/obo/GO_0042493, http://purl.obolibrary.org/obo/HP_0012235	1	5	1	
persistent Staphylococcus aureus carrier status	http://www.ebi.ac.uk/efo/EFO_0007757	1	5	1	
sleep time	http://www.ebi.ac.uk/efo/EFO_0005274	1	5	1	
HSV1 seropositivity, cytomegalovirus seropositivity, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0007050, http://www.ebi.ac.uk/efo/EFO_0007037, http://www.ebi.ac.uk/efo/EFO_0000289	1	5	1	
formal thought disorder	http://www.ebi.ac.uk/efo/EFO_0004805	1	5	1	
anorexia nervosa, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0004215, http://www.ebi.ac.uk/efo/EFO_0000289	1	5	1	
hip fracture	http://www.ebi.ac.uk/efo/EFO_0003964	1	5	1	
response to perphenazine	http://purl.obolibrary.org/obo/GO_0097334	1	5	1	
urinary 6‑hydroxymelatonin sulfate to creatinine ratio	http://www.ebi.ac.uk/efo/EFO_0021488	1	5	1	
response to gemcitabine, response to antineoplastic agent	http://purl.obolibrary.org/obo/GO_0036272, http://purl.obolibrary.org/obo/GO_0097327	1	5	1	
unipolar depression, mental or behavioural disorder, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0000677, http://www.ebi.ac.uk/efo/EFO_0000289	1	5	1	
hepatitis C induced liver cirrhosis	http://www.ebi.ac.uk/efo/EFO_0005129	1	5	1	
molar-incisor hypomineralization	http://www.ebi.ac.uk/efo/EFO_0005321	1	5	1	
Dental enamel hypoplasia, dental caries, tooth agenesis	http://www.ebi.ac.uk/efo/EFO_1001304, http://www.ebi.ac.uk/efo/EFO_0003819, http://www.ebi.ac.uk/efo/EFO_0005410	1	5	1	
Erythema nodosum	http://purl.obolibrary.org/obo/HP_0012219	1	5	1	
recalcitrant atopic dermatitis	http://www.ebi.ac.uk/efo/EFO_1000651	1	5	1	
gambling behaviour	http://www.ebi.ac.uk/efo/EFO_0004699	1	5	1	
sensory perception of sound	http://purl.obolibrary.org/obo/GO_0007605	1	5	1	
uveal melanoma disease severity	http://www.ebi.ac.uk/efo/EFO_0010244	1	5	1	
folding of antihelix	http://www.ebi.ac.uk/efo/EFO_0007671	1	5	1	
postherpetic neuralgia	http://purl.obolibrary.org/obo/MONDO_0041052	1	5	1	
schizophrenia, schizoaffective disorder, obsolete_bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0005411, http://www.ebi.ac.uk/efo/EFO_0000289	1	5	1	
abnormal vaginal discharge itching	http://www.ebi.ac.uk/efo/EFO_0009409	1	5	1	
disease free survival, type 1 diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0000409, http://purl.obolibrary.org/obo/MONDO_0005147	1	5	1	
myocarditis, response to clozapine	http://www.ebi.ac.uk/efo/EFO_0009609, http://purl.obolibrary.org/obo/GO_0097338	1	4	1	
schizophrenia, HSV1 seropositivity, Toxoplasma gondii seropositivity, cytomegalovirus seropositivity	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0007050, http://www.ebi.ac.uk/efo/EFO_0007047, http://www.ebi.ac.uk/efo/EFO_0007037	1	4	1	
response to 5' fluorouracil, response to antineoplastic agent	http://purl.obolibrary.org/obo/GO_0036275, http://purl.obolibrary.org/obo/GO_0097327	1	4	1	
response to non-steroidal anti-inflammatory, drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0005533, http://www.ebi.ac.uk/efo/EFO_0004228	1	4	1	
thoracic aortic aneurysm, Abdominal Aortic Aneurysm, brain aneurysm	http://www.ebi.ac.uk/efo/EFO_0004282, http://www.ebi.ac.uk/efo/EFO_0004214, http://www.ebi.ac.uk/efo/EFO_0003870	1	4	1	
abdominal aortic artery calcification	http://www.ebi.ac.uk/efo/EFO_0004859	1	4	1	
carcinoid tumor	http://www.ebi.ac.uk/efo/EFO_0004243	1	4	1	
neutropenia, response to metamizole, Drug-induced agranulocytosis	http://purl.obolibrary.org/obo/MONDO_0001475, http://www.ebi.ac.uk/efo/EFO_0010971, http://purl.obolibrary.org/obo/HP_0012235	1	4	1	
Pituitary Gland Adenoma	http://www.ebi.ac.uk/efo/EFO_1000478	1	4	1	
trochanter size	http://www.ebi.ac.uk/efo/EFO_0010074	1	4	1	
age of onset of migraine with aura	http://purl.obolibrary.org/obo/OBA_2001027	1	4	1	
concentration dose ratio, response to anticonvulsant	http://www.ebi.ac.uk/efo/EFO_0007635, http://purl.obolibrary.org/obo/GO_0036277	1	4	1	
autism spectrum disorder, self reported educational attainment	http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004784	1	4	1	
central serous retinopathy	http://www.ebi.ac.uk/efo/EFO_0009784	1	4	1	
post-operative stroke, response to surgery	http://www.ebi.ac.uk/efo/EFO_0009956, http://www.ebi.ac.uk/efo/EFO_0009951	1	4	1	
Non-accomodative esotropia	http://purl.obolibrary.org/obo/HP_0031760	1	4	1	
response to radiation, obesity	http://purl.obolibrary.org/obo/GO_0009314, http://www.ebi.ac.uk/efo/EFO_0001073	1	4	1	
enuresis	http://purl.obolibrary.org/obo/MONDO_0024290	1	4	1	
Fever, response to sulfasalazine	http://purl.obolibrary.org/obo/HP_0001945, http://www.ebi.ac.uk/efo/EFO_0008324	1	4	1	
marginal zone B-cell lymphoma, obsolete_systemic lupus erythematosus	http://www.ebi.ac.uk/efo/EFO_1000630, http://www.ebi.ac.uk/efo/EFO_0002690	1	4	1	
response to trauma exposure, nucleus accumbens volume	http://www.ebi.ac.uk/efo/EFO_0008483, http://www.ebi.ac.uk/efo/EFO_0006931	1	4	1	
response to olanzapine, concentration dose ratio	http://purl.obolibrary.org/obo/GO_0097333, http://www.ebi.ac.uk/efo/EFO_0007635	1	4	1	
HIV-associated neurocognitive disorder, mild neurocognitive disorder, asymptomatic neurocognitive impairment	http://www.ebi.ac.uk/efo/EFO_0007948, http://www.ebi.ac.uk/efo/EFO_0007982, http://www.ebi.ac.uk/efo/EFO_0007983	1	4	1	
obsolete_systemic lupus erythematosus, chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0002690, http://www.ebi.ac.uk/efo/EFO_0000095	1	4	1	
Vogt-Koyanagi-Harada disease	http://purl.obolibrary.org/obo/MONDO_0018092	1	4	1	
asthma, Hispanic or Latin American	http://purl.obolibrary.org/obo/MONDO_0004979, http://purl.obolibrary.org/obo/HANCESTRO_0014	1	4	1	
response to fluoroquinolones, drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0007920, http://www.ebi.ac.uk/efo/EFO_0004228	1	4	1	
Dengue Hemorrhagic Fever	http://www.ebi.ac.uk/efo/EFO_0004227	1	4	1	
age-related macular degeneration, wet macular degeneration	http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0004683	1	4	1	
systemic scleroderma, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000717, http://www.ebi.ac.uk/efo/EFO_0000384	1	4	1	
hepatitis B virus infection, Susceptibility to viral and mycobacterial infections	http://www.ebi.ac.uk/efo/EFO_0004197, http://www.orpha.net/ORDO/Orphanet_391311	1	4	1	
chronic mountain sickness	http://www.ebi.ac.uk/efo/EFO_0010143	1	4	1	
response to etoposide, response to antineoplastic agent	http://purl.obolibrary.org/obo/GO_1902521, http://purl.obolibrary.org/obo/GO_0097327	1	4	1	
Alzheimer disease, whole-brain volume	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0005089	1	4	1	
response to immune checkpoint inhibitor, immune system toxicity	http://www.ebi.ac.uk/efo/EFO_0600023, http://www.ebi.ac.uk/efo/EFO_0011053	1	4	1	
vestibular neuronitis	http://www.ebi.ac.uk/efo/EFO_0007537	1	4	1	
response to tamsulosin	http://purl.obolibrary.org/obo/GO_1901905	1	4	1	
progression free survival, ovarian carcinoma, response to cisplatin, response to paclitaxel	http://www.ebi.ac.uk/efo/EFO_0004920, http://www.ebi.ac.uk/efo/EFO_0001075, http://purl.obolibrary.org/obo/GO_0072718, http://purl.obolibrary.org/obo/GO_1901555	1	4	1	
cocaine use disorder	http://www.ebi.ac.uk/efo/EFO_0010445	1	4	1	
